feature,mean_abs_shap,rank_med,rank_lo,rank_hi
childcare_pk,2.405945954871993,2.0,1.0,3.0
house_age,2.1839751100408797,1.0,1.0,3.0
closeness,1.6596996784782612,3.5,2.0,5.774999999999999
doctor_per1000,1.4676771000342883,5.0,1.225,8.0
seoul_dist_km,1.3099576044364414,7.5,4.0,13.774999999999999
pagerank_lag1,1.0928599410352096,4.0,2.0,9.774999999999999
fertility,1.0285893420918593,8.0,4.225,13.0
employ_rate,0.9771719991237205,7.0,4.225,11.0
fiscal_indep,0.8932943523671619,12.0,8.0,17.324999999999996
aging_ratio,0.8482487081282537,11.5,7.0,17.0
hospital_bed,0.8253657504478502,10.0,4.225,12.774999999999999
pop_density,0.7826138914906349,11.0,5.0,18.0
senior_fac_pk,0.7673589663155327,13.0,6.225,18.775
sewer_supply,0.7389018913179085,11.0,6.0,17.775
biz_count,0.6596631580923288,17.0,12.225,20.0
extinction_risk,0.6111197412225262,16.5,10.45,20.0
youth_ratio,0.6040462057818367,16.0,12.0,19.775
ln_pop,0.5838025275899134,18.0,11.225,20.0
academy_pk,0.5141944634892136,18.0,9.675,20.0
culture_facility_count,0.5138370718193241,20.0,15.0,20.0
