feature,post_2021_2024,pre_2017_2020,dir_flip,post_2021_2024_mag,pre_2017_2020_mag
academy_pk,-1.0,-1.0,0,0.6723836718024231,0.8629953435443887
aging_ratio,1.0,1.0,0,0.6752468514735348,0.5142707660819938
biz_count,-1.0,1.0,1,0.41387412460459255,0.795063789050109
childcare_pk,-1.0,-1.0,0,1.5748786099891818,2.6291885791201643
closeness,1.0,1.0,0,0.9587808287329409,2.385042877906538
culture_facility_count,1.0,-1.0,1,0.7014601133246532,0.6413584376682834
doctor_per1000,-1.0,-1.0,0,1.0155727272680508,0.8521176564562456
employ_rate,1.0,1.0,0,0.770255523543722,0.5805239342107837
extinction_risk,1.0,1.0,0,0.5120122477196075,0.7917255677033836
fertility,1.0,1.0,0,2.16902844070498,0.9384257045663771
fiscal_indep,1.0,1.0,0,0.631619357827109,0.6268801581142225
hospital_bed,-1.0,-1.0,0,0.5985654127270226,0.8835598016474788
house_age,-1.0,-1.0,0,1.9656935491591505,2.137747758812725
ln_pop,-1.0,1.0,1,0.5933911151850676,1.0592123380715448
pagerank_lag1,1.0,1.0,0,0.5283548129492778,1.349670378652952
pop_density,-1.0,1.0,1,0.4527303487209545,0.9868897742100265
senior_fac_pk,1.0,1.0,0,0.7488912841338417,0.9945697477343345
seoul_dist_km,-1.0,-1.0,0,0.7709084054437414,1.4287752124189077
sewer_supply,-1.0,-1.0,0,1.0367387723907042,0.5861785248580433
youth_ratio,1.0,1.0,0,0.5074861506525069,0.8136431726106463
