feature,shock,mean_pred_change
childcare_pk,+10%,-1.0238108631082354
childcare_pk,+20%,-1.8420285126353084
childcare_pk,-10%,1.1514454863484784
doctor_per1000,+10%,-0.1909973105455994
doctor_per1000,+20%,-0.21814740171601252
doctor_per1000,-10%,0.13453112803073922
house_age,+10%,-0.441750590087626
house_age,+20%,-0.8042016412801786
house_age,-10%,0.19874894518092298
sewer_supply,+10%,-0.3093790259869024
sewer_supply,+20%,-0.10840961581563878
sewer_supply,-10%,0.6301641409929193
pagerank_lag1,+10%,-0.15773237005278878
pagerank_lag1,+20%,-0.16210683776116558
pagerank_lag1,-10%,0.10282438909523565
