region_code,cluster,top_driver
11110,0,childcare_pk
11140,0,childcare_pk
11170,0,doctor_per1000
11200,0,childcare_pk
11215,0,doctor_per1000
11230,2,youth_ratio
11260,0,doctor_per1000
11290,0,fertility
11305,0,childcare_pk
11320,0,childcare_pk
11350,0,childcare_pk
11380,0,doctor_per1000
11410,0,childcare_pk
11440,0,doctor_per1000
11470,0,childcare_pk
11500,0,doctor_per1000
11530,0,childcare_pk
11545,0,childcare_pk
11560,0,fertility
11590,0,doctor_per1000
11620,0,childcare_pk
11650,0,childcare_pk
11680,0,childcare_pk
11710,0,childcare_pk
11740,0,childcare_pk
26110,1,childcare_pk
26140,0,childcare_pk
26170,2,childcare_pk
26200,0,employ_rate
26230,0,childcare_pk
26260,0,childcare_pk
26290,0,employ_rate
26320,0,employ_rate
26350,0,employ_rate
26380,0,fertility
26410,0,employ_rate
26440,2,house_age
26470,0,childcare_pk
26500,0,childcare_pk
26530,0,childcare_pk
26710,2,house_age
27110,3,childcare_pk
27140,2,doctor_per1000
27170,2,childcare_pk
27200,0,childcare_pk
27230,0,employ_rate
27260,0,childcare_pk
27290,0,fertility
27710,2,childcare_pk
28110,3,doctor_per1000
28140,2,childcare_pk
28177,0,childcare_pk
28185,0,childcare_pk
28200,0,fertility
28237,2,doctor_per1000
28245,0,childcare_pk
28260,3,childcare_pk
28710,1,childcare_pk
28720,2,seoul_dist_km
29110,2,childcare_pk
29140,0,childcare_pk
29155,0,employ_rate
29170,0,employ_rate
29200,0,childcare_pk
30110,2,childcare_pk
30140,0,childcare_pk
30170,0,childcare_pk
30200,2,house_age
30230,0,house_age
31110,0,fertility
31140,0,employ_rate
31170,0,employ_rate
31200,0,house_age
31710,1,seoul_dist_km
41110,0,childcare_pk
41130,0,doctor_per1000
41150,2,house_age
41170,0,childcare_pk
41190,0,pop_density
41210,0,childcare_pk
41220,3,closeness
41250,2,childcare_pk
41270,0,childcare_pk
41280,2,house_age
41290,3,doctor_per1000
41310,0,house_age
41360,2,house_age
41370,2,house_age
41390,3,house_age
41410,0,childcare_pk
41430,2,doctor_per1000
41450,3,childcare_pk
41460,2,house_age
41480,2,closeness
41500,2,closeness
41550,2,closeness
41570,3,house_age
41590,3,house_age
41610,2,closeness
41630,3,house_age
41650,2,childcare_pk
41670,2,seoul_dist_km
41800,1,closeness
41820,2,seoul_dist_km
41830,2,childcare_pk
43110,2,closeness
43130,2,doctor_per1000
43150,2,childcare_pk
43720,1,house_age
43730,1,house_age
43745,1,pagerank_lag1
43750,3,childcare_pk
43760,1,biz_count
43770,1,sewer_supply
43800,1,house_age
44130,2,house_age
44150,2,childcare_pk
44180,1,closeness
44200,2,house_age
44210,2,seoul_dist_km
44230,1,childcare_pk
44250,2,house_age
44270,2,seoul_dist_km
44710,1,childcare_pk
44760,1,house_age
44770,1,house_age
44790,1,pagerank_lag1
44800,2,childcare_pk
44810,1,seoul_dist_km
44825,1,sewer_supply
46110,0,childcare_pk
46130,0,childcare_pk
46150,2,sewer_supply
46170,2,senior_fac_pk
46230,2,closeness
46710,1,childcare_pk
46720,1,house_age
46730,1,house_age
46770,1,aging_ratio
46780,1,house_age
46790,1,childcare_pk
46800,1,house_age
46810,1,house_age
46820,1,house_age
46830,1,seoul_dist_km
46840,2,senior_fac_pk
46860,1,house_age
46870,1,house_age
46880,1,childcare_pk
46890,1,house_age
46900,1,house_age
46910,1,house_age
47110,2,house_age
47130,2,house_age
47150,2,pagerank_lag1
47170,0,house_age
47190,2,childcare_pk
47210,1,closeness
47230,2,pagerank_lag1
47250,1,house_age
47280,1,house_age
47290,2,childcare_pk
47730,1,house_age
47750,1,house_age
47760,1,house_age
47770,1,house_age
47820,1,childcare_pk
47830,1,pagerank_lag1
47840,1,childcare_pk
47850,0,childcare_pk
47900,3,biz_count
47920,1,house_age
47930,1,house_age
47940,1,house_age
48170,2,childcare_pk
48220,0,seoul_dist_km
48240,2,childcare_pk
48250,2,house_age
48270,1,seoul_dist_km
48310,0,seoul_dist_km
48330,2,house_age
48720,1,house_age
48730,1,childcare_pk
48740,1,childcare_pk
48820,1,seoul_dist_km
48840,1,house_age
48850,1,seoul_dist_km
48860,1,seoul_dist_km
48870,1,childcare_pk
48880,1,senior_fac_pk
48890,1,house_age
51110,2,childcare_pk
51130,2,seoul_dist_km
51150,2,house_age
51170,2,childcare_pk
51190,1,house_age
51210,2,childcare_pk
51230,1,childcare_pk
51720,1,seoul_dist_km
51730,2,seoul_dist_km
51750,1,culture_facility_count
51760,1,pagerank_lag1
51770,1,closeness
51780,1,closeness
51790,1,fiscal_indep
51800,1,pagerank_lag1
51810,1,closeness
51820,1,closeness
51830,1,childcare_pk
52130,0,employ_rate
52140,0,childcare_pk
52180,1,house_age
52190,1,childcare_pk
52210,1,house_age
52710,2,culture_facility_count
52720,1,childcare_pk
52730,1,childcare_pk
52740,1,fiscal_indep
52750,1,house_age
52770,1,house_age
52790,1,house_age
52800,1,house_age
