Algorithm,Parameter,Type,Lower,Upper,Scale,Best Value
DT,max_depth,int,3.0,15.0,linear,5
DT,min_samples_split,int,2.0,30.0,linear,11
DT,min_samples_leaf,int,1.0,20.0,linear,13
RF,n_estimators,int,200.0,800.0,linear,350
RF,max_depth,int,3.0,20.0,linear,20
RF,min_samples_leaf,int,1.0,20.0,linear,1
RF,max_features,float,0.4,1.0,linear,0.572592
GB,n_estimators,int,200.0,600.0,linear,587
GB,learning_rate,float,0.01,0.3,log,0.0146427
GB,max_depth,int,2.0,6.0,linear,6
GB,subsample,float,0.6,1.0,linear,0.983985
XGB,n_estimators,int,200.0,1000.0,linear,658
XGB,learning_rate,float,0.01,0.3,log,0.0109944
XGB,max_depth,int,3.0,12.0,linear,11
XGB,subsample,float,0.6,1.0,linear,0.655344
XGB,colsample_bytree,float,0.6,1.0,linear,0.648433
XGB,reg_lambda,float,0.0,5.0,linear,4.09454
LGBM,n_estimators,int,200.0,1000.0,linear,988
LGBM,learning_rate,float,0.01,0.3,log,0.055855
LGBM,num_leaves,int,15.0,127.0,linear,68
LGBM,feature_fraction,float,0.6,1.0,linear,0.706963
LGBM,bagging_fraction,float,0.6,1.0,linear,0.855563
LGBM,bagging_freq,int,1.0,10.0,linear,1
LGBM,reg_lambda,float,0.0,5.0,linear,3.66747
CatBoost,iterations,int,200.0,800.0,linear,677
CatBoost,learning_rate,float,0.01,0.3,log,0.108849
CatBoost,depth,int,4.0,10.0,linear,8
CatBoost,l2_leaf_reg,float,1.0,10.0,linear,2.15247
